date_scrap,date_debut,date_fin,price,identifiant,typologie,nom
26/02/2024,02/03/2024,09/03/2024,417.17,HYCZGU9,75 m² Appartement ∙ 1 chambre ∙ 7 personnes,Loèche-les-Bains - Valais
26/02/2024,02/03/2024,09/03/2024,1493.65,HV8HA9U,120 m² Maison de vacances ∙ 3 chambres ∙ 6 personnes,Ayent - Valais
26/02/2024,02/03/2024,09/03/2024,762.02,H7J8G2S,65 m² Maison de vacances ∙ 2 chambres ∙ 4 personnes,Albinen - Valais
26/02/2024,02/03/2024,09/03/2024,647.0,HG2TU8L,30 m² Village vacances ∙ 1 chambre ∙ 4 personnes,Saas-Balen - Valais
26/02/2024,02/03/2024,09/03/2024,901.53,HNRUWBE,80 m² Maison de vacances ∙ 3 chambres ∙ 5 personnes,Orsières - Valais
27/02/2024,02/03/2024,09/03/2024,1245.0,HDTU94R,105 m² Maison de vacances ∙ 3 chambres ∙ 6 personnes,Grengiols - Valais
27/02/2024,02/03/2024,09/03/2024,667.49,HYMHUEC,52 m² Appartement ∙ 1 chambre ∙ 2 personnes,Saas-Almagell - Valais
27/02/2024,02/03/2024,09/03/2024,1862.41,HDBAPCX,85 m² Appartement ∙ 3 chambres ∙ 6 personnes,Saas Fee - Valais
27/02/2024,02/03/2024,09/03/2024,706.18,H08WVXE,36 m² Appartement ∙ 1 chambre ∙ 2 personnes,Saas-Almagell - Valais
27/02/2024,02/03/2024,09/03/2024,1177.06,HSUXEK3,70 m² Appartement ∙ 2 chambres ∙ 5 personnes,Saas-Almagell - Valais
27/02/2024,02/03/2024,09/03/2024,1337.43,H1EN29H,90 m² Appartement ∙ 2 chambres ∙ 4 personnes,Loèche-les-Bains - Valais
27/02/2024,02/03/2024,09/03/2024,4767.14,H2E19DR,Appartement ∙ 4 chambres ∙ 7 personnes,Champéry - Valais
27/02/2024,02/03/2024,09/03/2024,1982.19,HFXS6WV,Appartement ∙ 3 chambres ∙ 5 personnes,Saas Fee - Valais
27/02/2024,02/03/2024,09/03/2024,2035.62,HRK8M93,160 m² Maison de vacances ∙ 4 chambres ∙ 9 personnes,Riddes - Valais
27/02/2024,02/03/2024,09/03/2024,1422.0,H0LRJ4W,115 m² Maison de vacances ∙ 3 chambres ∙ 6 personnes,Val-d'Illiez - Valais
28/02/2024,02/03/2024,09/03/2024,2011.95,H7T14WL,60 m² Appartement ∙ 3 chambres ∙ 5 personnes,Saas Fee - Valais
28/02/2024,02/03/2024,09/03/2024,844.0,H8BT9Z0,70 m² Appartement ∙ 2 chambres ∙ 5 personnes,Saas-Almagell - Valais
28/02/2024,02/03/2024,09/03/2024,2043.53,HS6BZYM,90 m² Appartement ∙ 3 chambres ∙ 6 personnes,Saas Fee - Valais
