web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,16/02/2025,24/02/2025,02/03/2025,360,360,Appartements pour 2 Personnes,,Appartement Risco -,,,9,117,Villers-sur-Mer
,16/02/2025,24/02/2025,02/03/2025,3427,3187,Appartement 4 personnes - 1 chambre - Piscine intérieure - Balcon,,Résidence Pierre & Vacances Premium Arc 1950 Le Village ★★★★★,,,9,14,Arc 1950
,16/02/2025,24/02/2025,02/03/2025,3427,3187,Appartement 4 personnes - 1 chambre - Piscine intérieure - Balcon,,Résidence Pierre & Vacances Premium Arc 1950 Le Village ★★★★★,,,9,14,Arc 1950
,16/02/2025,25/02/2025,03/03/2025,360,360,Appartements pour 2 Personnes,,Appartement Risco -,,,9,117,Villers-sur-Mer
,16/02/2025,25/02/2025,03/03/2025,360,360,Appartements pour 2 Personnes,,Appartement Risco -,,,9,117,Villers-sur-Mer
,16/02/2025,25/02/2025,03/03/2025,3365,3129,Appartement 4 personnes - 1 chambre - Piscine intérieure - Balcon,,Résidence Pierre & Vacances Premium Arc 1950 Le Village ★★★★★,,,9,14,Arc 1950
,16/02/2025,25/02/2025,03/03/2025,3365,3129,Appartement 4 personnes - 1 chambre - Piscine intérieure - Balcon,,Résidence Pierre & Vacances Premium Arc 1950 Le Village ★★★★★,,,9,14,Arc 1950
,16/02/2025,26/02/2025,04/03/2025,360,360,Appartements pour 2 Personnes,,Appartement Risco -,,,9,117,Villers-sur-Mer
,16/02/2025,26/02/2025,04/03/2025,360,360,Appartements pour 2 Personnes,,Appartement Risco -,,,9,117,Villers-sur-Mer
,16/02/2025,26/02/2025,04/03/2025,3303,3072,Appartement 4 personnes - 1 chambre - Piscine intérieure - Balcon,,Résidence Pierre & Vacances Premium Arc 1950 Le Village ★★★★★,,,9,14,Arc 1950
,16/02/2025,26/02/2025,04/03/2025,3303,3072,Appartement 4 personnes - 1 chambre - Piscine intérieure - Balcon,,Résidence Pierre & Vacances Premium Arc 1950 Le Village ★★★★★,,,9,14,Arc 1950
,16/02/2025,26/02/2025,04/03/2025,3303,3072,Appartement 4 personnes - 1 chambre - Piscine intérieure - Balcon,,Résidence Pierre & Vacances Premium Arc 1950 Le Village ★★★★★,,,9,14,Arc 1950
,16/02/2025,26/02/2025,04/03/2025,3303,3072,Appartement 4 personnes - 1 chambre - Piscine intérieure - Balcon,,Résidence Pierre & Vacances Premium Arc 1950 Le Village ★★★★★,,,9,14,Arc 1950
,16/02/2025,27/02/2025,05/03/2025,377,377,Appartements pour 2 Personnes,,Appartement Risco -,,,9,117,Villers-sur-Mer
,16/02/2025,27/02/2025,05/03/2025,377,377,Appartements pour 2 Personnes,,Appartement Risco -,,,9,117,Villers-sur-Mer
