web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,20/01/2025,26/04/2025,02/05/2025,833,833,3 Pièces 6 Personnes,,Résidence Ederra Untxin,Saint-Jean-de-Luz,,17,471,Saint-Jean-de-Luz
,20/01/2025,26/04/2025,02/05/2025,529,529,Villa trois pièces mezzanine pour 8 personnes à Port Leucate. Réf: 2YOL_37,,Résidence Les Yoles,Port Leucate,,17,197,Port Leucate
,20/01/2025,26/04/2025,02/05/2025,529,529,Villa trois pièces mezzanine pour 8 personnes à Port Leucate. Réf: 2YOL_37,,Résidence Les Yoles,Port Leucate,,17,197,Port Leucate
,20/01/2025,05/04/2025,11/04/2025,532,371,Mobil Home Comfort 4 pièces 6 personnes,,Camping de Saint Aygulf Plage★★★★,Saint-Aygulf,,14,474,Saint-Aygulf
,20/01/2025,05/04/2025,11/04/2025,532,371,Mobil Home Comfort 4 pièces 6 personnes,,Camping de Saint Aygulf Plage★★★★,Saint-Aygulf,,14,474,Saint-Aygulf
,20/01/2025,05/04/2025,11/04/2025,532,371,Mobil Home Comfort 4 pièces 6 personnes,,Camping de Saint Aygulf Plage★★★★,Saint-Aygulf,,14,474,Saint-Aygulf
,20/01/2025,05/04/2025,11/04/2025,532,371,Mobil Home Comfort 4 pièces 6 personnes,,Camping de Saint Aygulf Plage★★★★,Saint-Aygulf,,14,474,Saint-Aygulf
,20/01/2025,05/04/2025,11/04/2025,532,371,Mobil Home Comfort 4 pièces 6 personnes,,Camping de Saint Aygulf Plage★★★★,Saint-Aygulf,,14,474,Saint-Aygulf
,20/01/2025,05/04/2025,11/04/2025,532,371,Mobil Home Comfort 4 pièces 6 personnes,,Camping de Saint Aygulf Plage★★★★,Saint-Aygulf,,14,474,Saint-Aygulf
,20/01/2025,05/04/2025,11/04/2025,532,371,Mobil Home Comfort 4 pièces 6 personnes,,Camping de Saint Aygulf Plage★★★★,Saint-Aygulf,,14,474,Saint-Aygulf
,20/01/2025,05/04/2025,11/04/2025,532,371,Mobil Home Comfort 4 pièces 6 personnes,,Camping de Saint Aygulf Plage★★★★,Saint-Aygulf,,14,474,Saint-Aygulf
,20/01/2025,26/04/2025,02/05/2025,1100,1100,5 Pièces pour 11 Personnes,,5 Pièces à Samoëns 49,Samoëns,,17,93,Samoëns
,20/01/2025,26/04/2025,02/05/2025,1100,1100,5 Pièces pour 11 Personnes,,5 Pièces à Samoëns 49,Samoëns,,17,93,Samoëns
,20/01/2025,03/05/2025,09/05/2025,610,610,1 Pièce 4 Personnes,,Résidence Le Florid,Cap d'Agde,,18,160,Cap d'Agde
,20/01/2025,03/05/2025,09/05/2025,610,610,1 Pièce 4 Personnes,,Résidence Le Florid,Cap d'Agde,,18,160,Cap d'Agde
,20/01/2025,03/05/2025,09/05/2025,610,610,1 Pièce 4 Personnes,,Résidence Le Florid,Cap d'Agde,,18,160,Cap d'Agde
